country,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.58,6.7,6.7,6.7,6.55,5.89,4.97,3.99,4.37,4.27,4.36,4.9,6.17,6.2,6.5,6.2,5.1,3.1,4.1,4.4,4.5,4.2,3.4,1.9,1.6,1.4,3.2,2.3,1.9,2,1.6,1.2,2.2,1.3
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,147,29.3,36.9,36.6,39.6,47.9,48.7,26.2,15.4,13.4,4.5,6.76,6.54,7.59,12.8,6.31,3.6,3.15,3.53,3.31,5.54,6.34,6.88,6.42,6.2
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,27.3,19.8,15.3,16.8,27.3,22.6,12.9,8.3,7.72,8.54,8.38,6.61,5.09,5.23,5.66,6.8,6.77,6.42,5.86,5.42,4.16,1.91,1.39,0.831,0.767,0.752,0.492,0.409
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.17,10.7,12,14.9,20.4,21.2,24.3,19,31.9,47.3,29.3
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2,32.2,26.1,24.9,27.3,18.1,14.9,9.6,6.87,4.9,5.81,5.84,6.25,6.63,8.65,8.95,9.25,9.57,10.2,10.4,14.1,11.6,9.01,8.66,8.49,8.12
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,5,7.61,7.99,7.99,5.3,5.09,4.66,5,6,6,5.75,5.01,4.19,4.02,4.33,4.36,4.34,4.45,5.18,4.49,4.36,4.86,4.12,3.86,3.83,3.52,3.54,3.48,3.37,3.38,3.16,3.04,2.89,2.47,1.93,1.75,1.65,1.58,1.51
Australia,,,,,,,,,,,,,,,,,,,,,,13.6,15,12.8,12.5,14,16.2,14.9,13.4,18.3,15.8,11.1,7.12,5.76,5.75,7.15,6.68,5.05,4.34,4.06,4.91,3.74,3.7,3.51,3.85,3.89,4.06,4.53,4.72,3.08,4.21,4.34,3.92,3.25,2.9,2.3,2.14,2.01,1.98,1.56,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,12.1,12.9,8.46,8.66,9.54,9.18,8.52,10.6,11.6,12.2,12.2,11.6,10.9,10.2,9.89,9.17,9,7.73,8.43,10.3,9.69,8.69
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,7.82,7.81,8.12,8.58,8.39,8.5,7.99,7.65,7.26,7,6.92,6.49,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,7.82,7.81,8.12,8.58,8.39,8.5,7.99,7.65,7.26,7,6.92,6.49,,,
Bangladesh,,,,,,,,,,,,,,,,,7.65,7.94,7.94,7.94,9.35,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.7,13.7,11.9,9.27,7.26,6.85,8.26,9.2,9.3,9.44,8.69,9.15,7.91,7.11,5.8,5.53,5.99,6.99,7.55,7.81,7.21,8.84,10.2,11.7,9.8,8.24,6.2,5.61,6.66,6.78,6.07
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,2.92,2.8,2.93,3.05,3.08,3.17,3.68,4.44,6.18,4.08,3.37,3.08,2.41,1.66,0.614,0.173,0.0463,0.0275,0.025,0.0133
Bahrain,,,,,,,,,,,,,,,,,6.5,6.5,6.5,6.83,7.88,9,8.58,7,7,6.71,5.58,5,5.5,7.33,7.5,,3.63,3.02,4,5.7,5.17,5.28,4.74,4.79,5.82,2.71,1.33,1.48,1.54,3.14,4.37,4.49,1.65,1.58,1.23,1.02,1.08,1.06,0.982,0.993,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,5.57,5.5,5.97,6.48,6.57,6.92,6.13,5.19,4.3,4.2,5.14,5.23,5.36,4.57,4.08,4.25,4.25,3.95,3.83,3.22,3.36,3.69,3.92,3.78,3.44,2.63,2.01,1.68,1.42,1.41,1.24,0.994,0.841,0.588,0.452
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,4.03,3.72,3.56,3.69,3.56,3.48,3.6,3.16,2.8,3.18,3.01,2.66,2.06,1.58,1.21,0.982,0.913,0.796
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1,89.6,101,32.4,15.6,14.3,23.8,37.5,34.2,26.9,17.4,12.7,9.23,7.68,8.31,8.53,10.7,9.09,13.3,22.3,20.3,18.6,19.9,14.6,7,5.92,6.51,6.61
