country,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,4.6,3.72,3.54,3.77,3.9,4.13,4.71,5.63,6.61,6.23,6.11,5.89,6.14,6.97,5.87,6.1,5.1,5.6,6.5,6.9,5.1,5.9,6.3,7.3,8.4,7.4,7,5.3,5,5.1,4.9,4.7,4.8,3.5,5.5
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.3,70.8,8.5,8.13,43.7,63.6,48.1,48.6,69.9,66.9,54.3,15,10.9,6,8.09,9.79,12.4,13.1,12.7,12.9,13.6,10.2,9.46,13.8,12.9,13.5
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,2.25,3.83,4.35,7.17,5.43,,8.67,13.8,11.9,6.77,5.9,5.15,7.99,7.71,8.44,6.22,5.89,6.4,6.57,5.46,5.66,6.06,6.48,5.9,5.45,5.18,5.78,5.71
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,3.41,2.04,2.29,3.59,3.75,6.95,7.58,16.6,20,0.0674
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,34.2,28.2,23.5,11.5,13.5,11.8,11.5,14,13.7,12.2,10.7,11.3,10.4,10.1,10.3,8.51,7.66,5.83,5.98,3.44,5.74,5.39,4.13,3.66,3.5
Antigua and Barbuda,,,,,,,,,,,,,,,,5.92,4.01,3.49,3.07,6.6,5.55,4.72,5.64,4.64,6.65,6.95,7.67,8.96,8.67,7.93,7.63,7.85,7.62,6.99,7.14,7.02,7.96,7.84,7.54,7.06,6.91,6.89,6.58,7.63,7.54,7,6.91,7.18,7.37,7.65,7.55,7.32,7.03,6.17
Australia,,,,,,,,,,,,,,,−1.79,−1.72,−0.433,−0.965,−1.59,−1.22,0.202,0.722,−1.89,0.527,2.36,3.46,3.65,3.34,3.35,3.05,2.12,2.35,2.51,2.81,3.1,2.66,3.1,3.2,3.37,3.55,3.67,4.18,2.94,3.07,3.4,3.06,2.93,3.05,3.27,3.28,3.24,3.28,3.54,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39,7.4,6.76,11.2,8.71,5.91,6.54,8.51,7.28,7.57,7.54,7.83,9.06,8.11,8.13,8.32,8.69,8.54,8.64,8.11,7.17,7.59,8.49
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.437,−3.08,−3.06,−3.14,−3.6,−3.27,−3.24,−2.95,−2.37,−1.92,−1.84,−1.63,−1.35,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,−3.08,−3.06,−3.14,−3.6,−3.27,−3.24,−2.95,−2.37,−1.92,−1.84,−1.63,−1.35,,,
Bangladesh,,,,,,,,,,2.55,2.27,2.27,2.27,1.16,−2.47,−2.47,−2.47,−2.47,−2.47,−0.617,1.24,1.24,1.24,1.19,1.1,2.05,4.64,6.19,6.14,4.73,3.79,3.63,3.66,4.07,3.67,4.7,4.93,4.6,5.08,5.68,5.64,5.34,5.51,5.01,4.48,3.73,1.87,3.15,3.46,4.21,3.93,2.99,2.78,2.23
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.19,6.4,5.61,5.82,5.58,5.72,6.32,6.42,5.16,7.07,7.26,6.63,6.63,6.61,6.83,6.22,5.39,4.94,4.52,4.32
